Number,Summary Nr,Report ID,Fatality,NAICS,Event Description,Abstract,Keywords,End User,Project Type,Project Cost,Non building height,Fatality.1,Age,Sex,Degree of injury,occpation,Max T,Min T,Dew Max,Dew Min,Max Wind Speed,Sea Level Pressure (in),Time,Temperature,Dew Point,Humidity,Wind,Pressure,Precip.,Condition,ZipCode,State,Season,Wind Speed,Wind Gust,Latitude,Longitude,Location,Event Date,Cloudcover,Visiblity,Solar Radiation,Solar Energy,UV Index
814,120633,626700,,238160,Employee Fractures Hip In Fall From Roof,"Abstract: At 2:30 p.m. on October 2, 2019, Employee #1 was installing roof shingles on a 10-foot-high roof. Employee #1 suffered a hip fracture after falling from the roof and was hospitalized.","Keywords: Fall, Fall From Elevation, Fracture, Hip, Installing, Roof",Single family or duplex dwelling,New project or new addition,,10,,23,M,Hospitalized injury,Roofers,91,77,75.0,70.0,14,29.96,14:53:00,91 °F,70 °F,50 %,ESE,29.90 in,0.0 in,Partly Cloudy,77406,TX,Fall,14 mph,20 mph,29.6523647,-95.7571067,TX 77406,2019-10-02,,,,,
815,123086,626600,,238160,Employee Fractures Hip In Fall From Roof,"Abstract: At 6:00 p.m. on September 28, 2019, an employee, a roofer, was installing shingles on a roof when he lost his balance and fell approximately 8 feet to the ground. The employee was not using fall protection at the time of the fall. The employee was hospitalized to treat a hip fracture.","Keywords: Blunt force, Blunt force trauma, Fall, Fall From Elevation, Fall Protection, Fracture, Hip, Installing, Lost Balance, Roof, Roofer",Multi-family dwelling,Maintenance or repair,,8,,38,M,Hospitalized injury,Roofers,90,77,75.0,70.0,14,29.93,17:50:00,88 °F,70 °F,55 %,SE,29.88 in,0.0 in,Partly Cloudy,77521,TX,Fall,9 mph,0 mph,29.7762322,-94.9841432,TX 77521,2019-09-28,,,,,
816,120245,626000,X,238160,Employee Falls From Roof And Is Killed,"Abstract: At 4:00 p.m. on September 26, 2019, an employee was standing on the roof edge of a five story building. The employee fell and was killed by unspecified injuries.","Keywords: Building, Fall, Fall Protection, Roof",Multi-family dwelling,Maintenance or repair,,,X,57,M,Fatality,Roofers,89,78,77.0,74.0,16,29.86,15:56:00,88 °F,74 °F,63 %,ESE,29.81 in,0.0 in,Partly Cloudy,78373,TX,Fall,15 mph,0 mph,27.8211744,-97.072579,TX 78373,2019-09-26,,,,,
817,120242,625700,,238160,Employee Incurs Multiple Injuries In Fall From Roof,"Abstract: At 12:40 a.m. on September 19, 2019, an employee was working on the metal roof, when he fell 15 feet to the lower level. The employee was hospitalized to treat a fractured collar bone and wrist, bruised ribs, and lacerations to the upper arm and face.","Keywords: Arm, Collarbone, Face, Fall, Fall From Elevation, Fracture, Laceration, Rib, Roof, Wrist",Commercial building,Alteration or rehabilitation,,15,,1,M,Hospitalized injury,"Painters, construction and maintenance",92,75,76.0,71.0,10,30.03,12:53:00,91 °F,71 °F,52 %,SE,30.00 in,0.0 in,Mostly Cloudy,70130,LA,Fall,7 mph,0 mph,29.9479659,-90.0644109,LA 70130,2019-09-19,,,,,
818,119863,626700,X,238160,Employee Is Killed In Fall From Roof,"Abstract: At 6:02 p.m. on September 13, 2019, an employee, working as a roofer, was putting tar paper on the roof of a residential building. The employee fell off of the roof and was killed by multiple blunt force trauma injuries to unspecified parts of the body.","Keywords: Blunt force trauma, Fall, Fall Protection, Residential Construction, Roof, Roofer",Single family or duplex dwelling,New project or new addition,,40,X,39,M,Fatality,Roofers,94,76,74.0,65.0,14,30.07,17:53:00,93 °F,68 °F,44 %,ESE,29.96 in,0.0 in,Fair,77054,TX,Fall,14 mph,0 mph,29.6914058,-95.4050089,TX 77054,2019-09-13,,,,,
819,119745,626700,,238160,Employee Sustains Head Trauma In Fall Through Skylight,"Abstract: At 10:30 a.m. on August 30, 2019, Employee #1 was working on a steel roof installation at a commercial building. As he waited for material to be loaded onto the roof, he moved a roll of insulation. During this process, he fell through a skylight, a fall height of 15 feet, and his head struck the surface. Employee #1 was transported to the hospital for treatment of traumatic head injury.","Keywords: Blunt force trauma, Brain, Construction, Fall, Fall Protection, Head, Installing, Roof, Roofer, Skylight, Struck Against, Unguarded, Unprotected, Walking Surface, Work Surface",Commercial building,Alteration or rehabilitation,,15,,33,M,Hospitalized injury,Roofers,92,79,77.0,71.0,15,29.98,10:53:00,88 °F,72 °F,59 %,CALM,29.98 in,0.0 in,Partly Cloudy,77581,TX,Summer,0 mph,0 mph,29.5604943,-95.2638044,TX 77581,2019-08-30,,,,,
820,119569,626000,X,238160,Employee Is Killed In Fall Through Skylight,"Abstract: At 10:00 a.m. on August 20, 2020, Employee #1, employed by a roofing company, used a ladder to access the roof of a one-story commercial building. He fell through a skylight, a fall height of 25 feet. Employee #1 sustained trauma to the head and multiple internal organs and was killed.","Keywords: Construction, Fall, Fall Protection, Head, Ladder, Roof, Skylight, Torso, Unguarded, Unguarded Fl Opening",Commercial building,Alteration or rehabilitation,,25,X,59,M,Fatality,Construction laborers,103,81,75.0,57.0,22,29.45,09:56:00,88 °F,74 °F,63 %,SSE,29.44 in,0.0 in,Fair,78041,TX,Summer,17 mph,22 mph,27.5493827,-99.4890005,TX 78041,2019-08-20,,,,,
821,118910,626700,,238160,Three Employees Receive Electric Shock; One Falls From Roof,"Abstract: At 1:00 p.m. on July 29, 2019, three employees were working for a structural steel and precast concrete contractor. They were working at a roofing project going on at an existing commercial building, a lodge. Employee #1 was working as a construction laborer. He was on the roof, guiding insulated roof panels into place for securing into steel beams with self-tapping bolts. He was working approximately 25 feet (7.6 meters) above a concrete surface. Each of the other workers, Employees #2 and #3, was in a scissor lift being used to lift the panels into place for securing. Working in unison, the scissor lifts were lifting the roof panel into position to fasten to the peak first and then to the outside wall edge. The roof panel nearest the exterior wall was less than 10 feet (3.1 meters) from an overhead power line energized at 7,620 volts. (Another source said that the conductor was energized at 13.2 kV.) There was an arc from the power line to the roof panel. All three employees received an electric shock and burn injuries. Employee 1 fell from the roof onto concrete approximately 25 feet (7.6 meters) below. The fall was captured on a security camera video. Employees #2 and #3 in the scissor lifts received electrical burn injuries. They were treated and released at a local hospital. Employee #1, the employee who fell to the concrete from the roof, was life flighted to large public university's medical school teaching hospital. He was put into a medically induced coma to allow for stabilizing prior to treatment. He suffered several injuries. Among them were multiple fractures of the right leg and arm, numerous broken facial bones, severely damaged lungs, a torn aorta, and possible spinal damage. He was hospitalized for two or more days.","Keywords: Arm, Broken Bone, Cardiovasc System, Commercial Building, Construction, E C, Electric Shock, Electrical, Emergency Response, Energized, Face, Fall, Fall From Elevation, Fall Protection, Fracture, Heart, KV (Kilovolts), Leg, Lung, Overhead Power Line, Power Lines, Renovation, Reporting, Roof, Roofer, Scissor lift, Spine, Training, Unconsciousness, Unprotected, Untrained, Vertebra, Walking Surface, Work at Elevation",Other building,New project or new addition,,25,,45,M,Hospitalized injury,Construction laborers,92,78,78.0,75.0,12,30.04,12:53:00,92 °F,77 °F,62 %,S,30.03 in,0.0 in,Fair,77705,TX,Summer,12 mph,17 mph,30.0251875,-94.1611168,TX 77705,2019-07-29,,,,,
822,118049,626300,,238160,Employee Falls While Decking Roof And Incurs Multiple Injuri,"Abstract: At 2:20 p.m. on July 15, 2019, an employee was installing decking and was working while standing on a roof truss. The employee lost his footing and fell approximately twenty-one feet. The employee was wearing personal fall protection which included a full body harness, a D-Ring extension, a retractable lanyard, and a beam anchor clamp. After falling, the device caught and stopped his fall, but apparently the force of this then made the D-ring extension threading fail and it broke. The employee then free-fell approximately 27 feet to the concrete floor below. The employee was hospitalized to treat the following: right leg fractured in 3 places, right knee shattered, fractures to front of skull/forehead, broken nose, five teeth were busted out, and numerous facial lacerations.","Keywords: Broken Bone, Concrete Floor, Decking, Face, Fall, Fall From Elevation, Fall Protection, Forehead, Fracture, Installing, Knee, Laceration, Leg, Lost Balance, Nose, Roof, Skull, Truss",Commercial building,New project or new addition,,48,,47,M,Hospitalized injury,"Helpers, construction trades",94,74,72.0,65.0,12,29.43,13:53:00,90 °F,68 °F,48 %,W,29.39 in,0.0 in,Mostly Cloudy,75141,TX,Summer,8 mph,0 mph,32.6432161,-96.7100122,TX 75141,2019-07-15,,,,,
823,119050,636900,,238160,Employee Sustains Fractures In Fall From Roof Trusses,"Abstract: At 4:15 p.m. on July 12, 2019, Employee #1, employed by a roofing contractor, was walking on trusses during construction of a multifamily residential structure. The employee, who was not using fall protection, fell and fractured his ankle. The employee was transported to the hospital and admitted for treatment of fractures.","Keywords: Ankle, Fall, Fall Protection, Fracture, Residential Construction, Roof, Truss, Walking Surface, Work Surface",Multi-family dwelling,New project or new addition,,9,,43,M,Hospitalized injury,"Laborers, except construction",90,73,70.0,62.0,14,29.2,16:53:00,90 °F,63 °F,40 %,ENE,29.11 in,0.0 in,Fair,76244,TX,Summer,12 mph,0 mph,32.9330233,-97.2877267,TX 76244,2019-07-12,,,,,
824,119002,627700,X,238160,Employee Is Killed In Fall From Roof,"Abstract: At 9:00 a.m. on June 5, 2019, Employee #1, employed by a construction company, was engaged in roofing repair work at a two-story residential structure. He fell from the roof, a fall height of 30 feet. Employee #1 sustained multiple injuries and was killed.","Keywords: Fall, Fall Protection, Installing, Maintenance, Repair, Residential Construction, Roof, Roofer",Single family or duplex dwelling,Maintenance or repair,,30,X,47,M,Fatality,Roofers,77,62,61.0,55.0,15,29.42,08:56:00,68 °F,56 °F,65 %,NNW,26.98 in,0.0 in,Fair,73858,OK,Summer,15 mph,0 mph,36.2693358,-99.8774513,OK 73858,2019-06-05,,,,,
825,117047,627100,X,238160,Employee Is Killed In Fall Through Roof Hole,"Abstract: At 8:46 a.m. on May 28, 2019, Employee #1, employed by a construction company, was engaged in repair work on the flat standing seam roof of a two-story commercial building. He was replacing a 3-foot wide by 30-foot long piece of corrugated sheet metal. Employee #1 fell through the roof opening and the insulation, a fall height of 23 feet, and struck the concrete surface. He was killed as the result of multiple injuries.","Keywords: Concrete, Construction, Fall, Fall Protection, Material Handling, Metal Sheet, Repair, Roof, Roof Opening, Struck Against",Commercial building,Maintenance or repair,,30,X,20,M,Fatality,Installers And Repairers,89,72,71.0,66.0,17,27.0,08:53:00,77 °F,69 °F,76 %,SW,29.59 in,0.0 in,Cloudy,72117,AR,Spring,13 mph,0 mph,34.7799791,-92.1868825,AR 72117,2019-05-28,,,,,
826,116630,627700,X,238160,Employee Is Killed When Blown By Wind From Roof,"Abstract: At 4:45 p.m. on May 28, 2019, Employee #1, employed by a property management company, was working on the roof of a two-story commercial building. He was installing metal roofing material when a gust of wind knocked him off the roof. He fell to the concrete parking lot, a fall height of 22 feet. Employee #1 sustained a fractured skull and abdominal injuries. He was killed by the fall.","Keywords: Abdomen, Building, Concrete, Construction, Fall, Fall Protection, Fracture, Installing, Metal Decking, Roof, Skull",Commercial building,New project or new addition,,22,X,58,M,Fatality,Construction laborers,89,70,73.0,66.0,23,28.56,16:53:00,85 °F,71 °F,63 %,S,28.42 in,0.0 in,Windy,73401,OK,Spring,22 mph,28 mph,34.1771855,-97.1393256,OK 73401,2019-05-28,,,,,
827,116486,626000,,238160,Employee Incurs Multiple Injuries In Fall Through Rotted Roo,"Abstract: At 10:45 a.m. on May 19, 2019, Employee #1, employed by a roofing contractor, was engaged in roofing repairs on the roof of a three-story commercial building. He was walking to another area of the roof when he stepped on rotting Tectum decking material and fell through. The employee was transported to the hospital and admitted for treatment of unspecified multiple injuries.","Keywords: Blunt force trauma, Construction, Decking Panel, Fall, Fall Protection, Floor Hole, Rehabilitation, Repair, Roof, Structural Collapse, Work Surface",Commercial building,Maintenance or repair,,26,,31,M,Hospitalized injury,Roof Repair: Sheet Metal,89,79,77.0,75.0,21,29.8,10:44:00,86 °F,75 °F,70 %,SSE,29.79 in,0.0 in,Cloudy,78377,TX,Spring,12 mph,0 mph,28.3094115,-97.2786193,TX 78377,2019-05-19,,,,,
828,117470,627100,,238160,Employee Sustains Multiple Fractures In Fall Through Skyligh,"Abstract: At 10:15 a.m. on May 16, 2019, Employee #1 and coworkers, employed by a roofing contractor, were working on the roof of a one-story commercial building. They had not been provided with fall protection. They were removing debris and old trim and moving it to the other side of the roof. As Employee #1 walked on the roof, he stepped on a skylight and fell through to the concrete surface, a fall height of 17 feet. The employee was transported to the hospital and admitted for treatment of multiple fractures, including fractures to the hip and leg.","Keywords: Blunt force trauma, Broken Bone, Construction, Fall, Fall Protection, Fracture, Hip, Housekeeping, Leg, Maintenance, Roof, Skylight, Unguarded, Unprotected, Walking Surface, Work Surface",Commercial building,Maintenance or repair,,,,60,M,Hospitalized injury,Roofers,87,66,64.0,61.0,14,29.74,10:53:00,83 °F,62 °F,49 %,WSW,29.72 in,0.0 in,Fair,72160,AR,Spring,12 mph,0 mph,34.4698727,-91.5463153,AR 72160,2019-05-16,,,,,
829,116255,627100,X,238160,Employee Dies After Falling Through Roof Opening,"Abstract: At 11:18 a.m. on May 12, 2019, Employee #1, employed by a roofing company, was working on the roof of a two-story manufacturing plant. He was removing roof panels to create a 40-foot by 40-foot opening, so that equipment inside the plant could be lifted out by crane. Employee #1 fell through the opening, first striking the equipment, then continuing to fall, a fall height of approximately 55 feet. Emergency services were called, and Employee #1 was transported to the hospital, where he later died.","Keywords: Construction, Crane, Fall, Fall Protection, Material Handling, Roof Opening, Roof Panel",Manufacturing plant,Other,,55,X,56,M,Fatality,"Management related occupations, n.e.c.",75,58,63.0,58.0,13,29.59,11:53:00,66 °F,58 °F,75 %,W,29.58 in,0.0 in,Cloudy,71671,AR,Spring,10 mph,0 mph,33.6125715,-92.0807981,AR 71671,2019-05-12,,,,,
830,115995,626300,X,238160,Employee Is Killed In Fall From Ladder,"Abstract: At 1:30 p.m. on May 2, 2019, Employee #1, employed by a construction company, was engaged in renovation work at a one-story commercial building. He was climbing over a 28-foot extension ladder when he fell backward, a fall height of 3 to 4 feet. Employee #1's skull was fractured on impact with the concrete floor, and he was killed. .","Keywords: Brain, Concrete, Construction, Extension Ladder, Fall, Fracture, Head, Skull",Commercial building,Alteration or rehabilitation,,16,X,29,M,Fatality,Roofers,81,63,62.0,57.0,18,29.62,13:53:00,77 °F,62 °F,60 %,S,29.45 in,0.0 in,Partly Cloudy,75075,TX,Spring,10 mph,0 mph,33.0173084,-96.7320831,TX 75075,2019-05-02,,,,,
831,115893,626000,,238160,Employee Incurs Several Fractures In Fall From Store Canopy,"Abstract: At 2:30 p.m. on April 30, 2019, Employee #1, employed by a roofing contractor, was removing roofing material from a retail store front canopy. He was walking on plywood they had placed over the support braces when he stepped in an area not covered by plywood and fell. His fall was partially arrested by his fall protection system. However, after his safety line wrapped around a parapet wall section, it came undone. At that point the line was too long to prevent his hitting the ground. The employee was transported to the hospital, where he was admitted for treatment of factures to his face, nose, and right arm.","Keywords: Arm, Blunt force trauma, Brace, Construction, Demolition, Equipment Failure, Face, Fall, Fall Protection, Fracture, Nose, Plywood, Roof, Roofer, Walking Surface",Commercial building,Demolition,,18,,24,M,Hospitalized injury,Construction laborers,87,80,77.0,76.0,25,29.89,14:56:00,85 °F,77 °F,77 %,SSE,29.84 in,0.0 in,Windy,78411,TX,Spring,25 mph,35 mph,27.7280157,-97.3850446,TX 78411,2019-04-30,,,,,
832,115525,626600,,238160,Employee Injures Head In Fall From Roof,"Abstract: At 11:20 a.m. on April 17, 2019, Employee #1, employed by a roofing contractor, was engaged in reroofing work at a two-story arts center. The employee fell and struck his head on the ground. Emergency services transported the employee to the hospital, where he was admitted for treatment of head injuries.","Keywords: Blunt force trauma, Construction, Fall, Fall Protection, Head, Rehabilitation, Renovation, Repair, Roof, Roofer, Struck Against",Commercial building,Alteration or rehabilitation,,10,,46,M,Hospitalized injury,Roofers,76,69,72.0,66.0,22,29.62,11:53:00,74 °F,71 °F,91 %,SSE,29.50 in,0.0 in,Cloudy,77340,TX,Spring,15 mph,0 mph,30.7052693,-95.5386489,TX 77340,2019-04-17,,,,,
833,115540,626600,,238160,Employee Injures Spine And Head In Fall Through Roof,"Abstract: At 7:50 a.m. on April 17, 2019, Employee #1, employed by a roofing company, was working on the roof of a one-story commercial building. He was measuring a section that needed to be cut out and replaced when he fell through the roof to the inside of the building, a fall height of 16 feet. Emergency services transported the employee to the hospital, where he was admitted to the intensive care unit with injuries to his spine and head.","Keywords: Back, Blunt force trauma, Construction, Fall, Fall Protection, Floor Opening, Head, Rehabilitation, Repair, Roof, Roofer, Spine, Unprotected, Vertebra",Commercial building,New project or new addition,,16,,39,M,Hospitalized injury,Roofers,78,70,73.0,66.0,23,29.87,07:53:00,71 °F,71 °F,100 %,SSE,29.78 in,0.0 in,Fog,77338,TX,Spring,9 mph,0 mph,30.0000623,-95.2952636,TX 77338,2019-04-17,,,,,
834,115247,626300,X,238160,Employee Falls From Roof While Removing Shingles And Is Kill,"Abstract: At 9:20 a.m. on April 10, 2019, an employee was removing shingles 14/12 pitch roof approximately 16 feet in height using a pitch fork. The employee was tied off to his tool belt and the belt loop broke. The employee fell from the roof and was killed.","Keywords: Fall, PPE, Roof",Single family or duplex dwelling,Alteration or rehabilitation,,16,X,45,M,Fatality,Roofers,90,67,55.0,49.0,23,29.23,09:53:00,74 °F,53 °F,48 %,SSE,29.16 in,0.0 in,Mostly Cloudy,75035,TX,Spring,14 mph,22 mph,33.1432187,-96.7767735,TX 75035,2019-04-10,,,,,
835,115810,653510,,238160,Employee Sustains Multiple Injuries In Fall From Roof,"Abstract: At 4:00 p.m. on April 8, 2019, Employee #1, employed by a roofing contractor, was working on the roof of a two-story apartment building. He was tossing ducting from air conditioning units off of the roof to the ground when he fell, a fall height of 25 feet. The employee was transported to the hospital, where he was admitted and required treatment for a fractured pelvis, a fractured shoulder, lacerations to the head, and internal bleeding.","Keywords: Air Conditioner, Blunt force trauma, Duct, Fall, Fall Protection, Fracture, Head, Hemorrhage, Laceration, Maintenance, Pelvis, Repair, Residential Construction, Roof, Roofer, Shoulder",Multi-family dwelling,Maintenance or repair,,25,,63,M,Hospitalized injury,Roofers,78,50,24.0,17.0,22,24.85,15:52:00,78 °F,19 °F,11 %,NW,24.75 in,0.0 in,Partly Cloudy,87106,NM,Spring,16 mph,0 mph,35.0608687,-106.6133724,NM 87106,2019-04-08,,,,,
836,119877,627700,,238160,Employee Incurs Multiple Injuries In Fall Through Skylight.,"Abstract: At 8:00 a.m. on April 2, 2019, an employee assisted in the measurement of a fiberglass skylight panel to be replaced with a metal panel. At some point, the employee fell through the skylight, approximately two-stories, and was injured. The employee was hospitalized to treat an elbow fracture, strained back, bruised chest/ribs and bruised abdomen.","Keywords: Abdomen, Back, Chest, Contusion, Cover, Elbow, Fall, Fall Protection, Fracture, Rib, Skylight",Other building,Alteration or rehabilitation,,20,,45,M,Hospitalized injury,Roof Repair: Sheet Metal,70,35,40.0,30.0,17,28.77,07:52:00,37 °F,33 °F,86 %,S,28.73 in,0.0 in,Fair,73127,OK,Spring,9 mph,0 mph,35.4821178,-97.613258,OK 73127,2019-04-02,,,,,
837,114873,626300,X,238160,One Employee Is Killed And Another Is Injured In Fall,"Abstract: At 12:10 p.m. on March 23, 2019, two employees were working on the roof of a building to install skylights. During work, Employee #1 was walking across the roof when he fell through an open skylight that measured 5 feet wide by 5 feet long. He fell an approximate 40 feet and was killed. No barricades were installed around the cut openings of the skylight, nor was Employee #1 wearing fall protection. Employee #2 later went to the roof to retrieve some tools when he saw an open hole. As he pushed a skylight cover over the hole, not realizing that the skylight was unsecured over an existing hole, he fell an approximate 40 feet and was injured, requiring hospitalization.","Keywords: Fall, Fall Protection, Skylight, Unguarded, Unsecured",Commercial building,New project or new addition,,40,X,46,M,Fatality,Roofers,71,62,60.0,44.0,17,29.56,12:53:00,67 °F,59 °F,76 %,SSW,29.55 in,0.0 in,Cloudy,75211,TX,Spring,13 mph,23 mph,32.7420301,-96.8817061,TX 75211,2019-03-23,,,,,
838,114677,626300,,238160,Employee Falls Through Roof And Receives Back Fracture,"Abstract: At 11:00 a.m. on March 18, 2019, an employee worked to remove old roofing material. While clearing out the old material, the employee fell approximately twenty feet through the roof. The employee was hospitalized for a back fracture.","Keywords: Back, Demolition, Fall, Fall Protection, Fracture, Roof, Roofer",Commercial building,Alteration or rehabilitation,,20,,20,M,Hospitalized injury,Roofers,71,40,40.0,26.0,9,29.75,10:53:00,65 °F,29 °F,26 %,ESE,29.75 in,0.0 in,Fair,75702,TX,Spring,6 mph,0 mph,32.3582834,-95.3218134,TX 75702,2019-03-18,,,,,
839,114578,626000,X,238160,Employee Falls From Roof And Later Dies From Injuries,"Abstract: At 4:36 p.m. on March 15, 2019, Employee #1, employed by a construction carpentry company, was engaged in roofing repair work on a residential carport roof. He was installing Oriented Strand Board (OSB) plywood for decking when he lost his balance and fell, a fall height of 10 feet. Emergency services were called, and Employee #1 was transported and admitted to the hospital for treatment of fractured ribs and a punctured lung. Employee #1 died from his injuries.","Keywords: Fall, Fall Protection, Fracture, Lost Balance, Lung, Puncture, Repair, Residential Construction, Rib, Roof",Other building,Demolition,,10,X,37,M,Fatality,Construction laborers,65,58,38.0,26.0,22,29.85,16:56:00,65 °F,29 °F,26 %,N,29.74 in,0.0 in,Cloudy,78040,TX,Spring,12 mph,0 mph,27.5113798,-99.5017979,TX 78040,2019-03-15,,,,,
840,117180,626300,X,238160,Employee Falls Through Skylight And Is Killed,"Abstract: At 11:45 a.m. on March 14, 2019, an employee was removing and re-installing metal decking throughout a commercial building. As employees removed and re-installed the metal decking, they would place the old metal decking over the skylights on the roof. Employee #1 was working as a laborer who was removing the old metal decking and removing the old roof jacks. Employee #1 walked beyond the extension ladder ""safe zone"" (attempted CDZ) and fell through the skylight and was killed.","Keywords: Fall, Roof, Skylight",Commercial building,Alteration or rehabilitation,,17,X,35,M,Fatality,Construction laborers,67,52,62.0,30.0,22,29.73,11:53:00,59 °F,34 °F,39 %,WNW,29.51 in,0.0 in,Fair,75006,TX,Spring,17 mph,30 mph,32.964815,-96.8894362,TX 75006,2019-03-14,,,,,
841,114337,626600,,238160,Employee Receives Severe Head Laceration And Contusions To S,"Abstract: At 11:20 a.m. on March 9, 2019, an employee and coworker installed paper on a new construction roof. At some point, the employee slipped and fell off the roof and received severe head laceration and contusions to the left shoulder. The employee was hospitalized for treatment.","Keywords: Contusion, Fall, Fall Protection, Head, Installing, Laceration, Roof, Roofer, Shoulder, Slip",Other building,Alteration or rehabilitation,,12,,23,M,Hospitalized injury,Roofers,72,47,46.0,41.0,16,30.19,11:53:00,66 °F,43 °F,43 %,E,30.18 in,0.0 in,Mostly Cloudy,77355,TX,Spring,12 mph,0 mph,30.1558409,-95.7420877,TX 77355,2019-03-09,,,,,
842,113701,626600,X,238160,Employee Is Killed In Fall From Height,"Abstract: At 5:30 p.m. on February 13, 2019, an employee was gathering tools and securing compressors when they tripped over a 16 to 18 inch curb into a 37.5 foot whole on to the concrete floor bellow. The fall resulted in multiple fatal blunt force trauma injuries.","Keywords: Concrete, Fall, Tripped",Commercial building,New project or new addition,,37,X,26,M,Fatality,Roofers,65,38,48.0,35.0,17,30.23,17:53:00,60 °F,45 °F,57 %,SE,30.02 in,0.0 in,Cloudy,77073,TX,Winter,12 mph,0 mph,30.008988,-95.4032373,TX 77073,2019-02-13,,,,,
843,112918,625700,,238160,Employee Falls From Roof And Fractures Ribs And Hip,"Abstract: At 9:00 a.m. on January 21, 2019, Employee #1 and a coworker, employed by a roofing contractor, were engaged in roofing repair work at a one-story commercial building. Employee #1 was helping his coworker place roofing materials on an aerial lift. He then accessed the roof, whereupon he fell, a fall height of 20 feet. Emergency services transported Employee #1 to the hospital, where he was admitted for treatment of multiple injuries that included fractured ribs and a fractured hip.","Keywords: Aerial Lift, Blunt force trauma, Construction, Fall, Fall Protection, Fracture, Hip, Material Handling, Repair, Rib, Roof, Roofer",Commercial building,Maintenance or repair,,20,,22,M,Hospitalized injury,"Helpers, mechanics and repairers",54,31,44.0,26.0,16,30.04,08:56:00,33 °F,29 °F,85 %,SE,30.04 in,0.0 in,Cloudy,71108,LA,Winter,7 mph,0 mph,32.4519962,-93.781265,LA 71108,2019-01-21,,,,,
844,111105,636900,,238160,Employee Falls And Receives Head Lacerations And Rib Fractur,"Abstract: At 10:30 a.m. on November 15, 2018, an employee was working on a roof when, for an unknown reason, he fell twenty feet. The employee received head lacerations and rib fractures.","Keywords: Fall, Fracture, Head, Laceration, Rib, Roof, Roofer",Commercial building,Maintenance or repair,,,,25,M,Hospitalized injury,Roofers,65,29,37.0,24.0,14,29.66,09:53:00,40 °F,29 °F,65 %,SSW,29.61 in,0.0 in,Fair,76205,TX,Fall,7 mph,0 mph,33.1909301,-97.1180375,TX 76205,2018-11-15,,,,,
845,110759,625400,,238160,Employee Receives Head Injury In Fall From Rooftop,"Abstract: At 12:00 p.m.. on November 7, 2018, an employee was working on a roof. At some point, the employee had a nine foot fall and received a head injury (bleeding on the brain). The employee was hospitalized for treatment.","Keywords: Brain, Fall, Fall Protection, Head, Roof, Roofer",Single family or duplex dwelling,New project or new addition,,9,,63,M,Hospitalized injury,Roofers,73,56,70.0,54.0,17,29.5,11:51:00,69 °F,67 °F,93 %,N,29.43 in,0.0 in,Cloudy,76522,TX,Fall,12 mph,0 mph,31.124509,-97.9066309,TX 76522,2018-11-07,,,,,
846,110780,627100,X,238160,Employee Is Killed In Fall From Two Story Apartment Roof,"Abstract: At 8:30 a.m. on October 05, 2018, an employee was performing roofing work. The roof was set with dew in the morning when they started. The employee slipped off the roof and fell to the wet surface in the parking area, a distance of 17 feet. The original narrative did not mention the use of fall protection but appears that the employee was not using any. The employee was killed.","Keywords: Concrete, Fall, Fall Protection, Roof, Slip",Multi-family dwelling,Alteration or rehabilitation,,17,X,36,M,Fatality,Roofers,89,71,75.0,71.0,12,29.79,08:53:00,77 °F,73 °F,88 %,SSW,29.78 in,0.0 in,Fair,71603,AR,Fall,6 mph,0 mph,34.1825482,-92.0498193,AR 71603,2018-10-05,,,,,
847,109106,627510,,238160,Employee Burns Face When Falling While Holding Buckets Of Ho,"Abstract: At 1:30 p.m. on September 11, 2018, an employee was carrying two five-gallon buckets of hot asphalt when his foot stuck to the walking-working surface. The employee tripped and fell, spilling the hot asphalt which splashed onto his face. The employee received burns to his face and was hospitalized.","Keywords: Asphalt, Bucket , Burn, Face, Fall, Hot Asphalt, Spill, Splashed, Tripped",Commercial building,New project or new addition,,40,,55,M,Hospitalized injury,"Laborers, except construction",84,59,60.0,54.0,12,26.73,13:53:00,78 °F,59 °F,52 %,VAR,26.69 in,0.0 in,Partly Cloudy,79423,TX,Fall,6 mph,0 mph,33.4933492,-101.8729229,TX 79423,2018-09-11,,,,,
848,108518,625400,,238160,Employee Incurs Multiple Fractures In Fall From Roof,"Abstract: At 11:30 a.m. on August 20, 2018, Employee #1 was performing roofing work during a commercial construction project and while removing nails from the roof, Employee #1 accidentally fell a distance of 17 feet, from the roof to the ground. Afterwards, Employee #1 then sustained several broken bones, as a result of the fall.","Keywords: Brake, Construction, Fall, Fracture, Guardrail, Nail, Roof",Commercial building,New project or new addition,,17,,27,M,Hospitalized injury,Roofers,101,79,76.0,64.0,14,29.45,11:53:00,92 °F,70 °F,48 %,SSW,29.44 in,0.0 in,Partly Cloudy,78627,TX,Summer,12 mph,0 mph,30.6736,-97.6461,TX 78627,2018-08-20,,,,,
